MID Designated Area,LMI Status,Feasibility,Elevation Required,AMI Status,Has Childern under 18,Has Elderly over 65,Race,Ethnicity,Gender,Grant Expended Amount,Milestone
HUD MID,N/A,Reconstruction,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MID Information Not Submitted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HUD MID,N/A,Reconstruction,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HUD MID,LMI,Rehabilitation,No,Very Low (50%),yes,yes,W= White,Hispanic,Female,"$20,086.72 ","100 homes are repaired, reconstructed or replaced"
HUD MID,LMI,Reconstruction,No,Low (80%),yes,no,W= White,Hispanic,Female,N/A,N/A
HUD MID,LMI,Rehabilitation,No,Low (80%),no,yes,W= White,Hispanic,Female,"$20,086.72 ","100 homes are repaired, reconstructed or replaced"
MID Information Not Submitted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HUD MID,LMI,Rehabilitation,No,Low (80%),no,no,W= White,Hispanic,Female,"$20,086.72 ","100 homes are repaired, reconstructed or replaced"
HUD MID,LMI,Rehabilitation,No,Low (80%),no,no,W= White,Hispanic,Female,"$20,086.72 ","100 homes are repaired, reconstructed or replaced"
HUD MID,NON-LMI,Rehabilitation,No,Urgent Need (120%),no,no,W= White,Hispanic,Female,"$20,086.72 ","100 homes are repaired, reconstructed or replaced"
HUD MID,N/A,Replaced,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HUD MID,NON-LMI,Rehabilitation,No,Urgent Need (120%),no,no,W= White,Hispanic,Female,"$20,086.72 ","100 homes are repaired, reconstructed or replaced"
HUD MID,NON-LMI,Reconstruction,Yes,Urgent Need (120%),no,no,W= White,Hispanic,Female,"$20,086.72 ","100 homes are repaired, reconstructed or replaced"
HUD MID,N/A,Replaced,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HUD MID,N/A,Replaced,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HUD MID,N/A,Reconstruction,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HUD MID,NON-LMI,Rehabilitation,No,Urgent Need (120%),no,no,W= White,Hispanic,Female,"$20,086.72 ","100 homes are repaired, reconstructed or replaced"
HUD MID,NON-LMI,Reconstruction,Yes,Urgent Need (120%),no,no,W= White,Hispanic,Female,"$20,086.72 ","100 homes are repaired, reconstructed or replaced"
HUD MID,NON-LMI,Rehabilitation,No,Urgent Need (120%),no,no,W= White,Hispanic,Female,"$20,086.72 ","100 homes are repaired, reconstructed or replaced"
HUD MID,NON-LMI,Reconstruction,Yes,Urgent Need (120%),no,no,W= White,Hispanic,Female,"$20,086.72 ","100 homes are repaired, reconstructed or replaced"
HUD MID,N/A,Replaced,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HUD MID,NON-LMI,Rehabilitation,No,Urgent Need (120%),no,no,W= White,Hispanic,Female,"$20,086.72 ","100 homes are repaired, reconstructed or replaced"
HUD MID,NON-LMI,Rehabilitation,No,Urgent Need (120%),no,no,W= White,Hispanic,Female,"$20,086.72 ","100 homes are repaired, reconstructed or replaced"
HUD MID,LMI,Reconstruction,No,Low (80%),no,no,W= White,Hispanic,Female,N/A,N/A
HUD MID,NON-LMI,Rehabilitation,No,Urgent Need (120%),no,no,W= White,Hispanic,Female,"$20,086.72 ","100 homes are repaired, reconstructed or replaced"
HUD MID,NON-LMI,Rehabilitation,No,Urgent Need (120%),no,no,W= White,Hispanic,Female,"$20,086.72 ","100 homes are repaired, reconstructed or replaced"
HUD MID,N/A,Replaced,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HUD MID,NON-LMI,Rehabilitation,No,Urgent Need (120%),no,no,W= White,Non-Hispanic,Female,"$20,086.72 ","100 homes are repaired, reconstructed or replaced"
